state,value
Alabama,2
Alaska,-3
Arizona,3
Arkansas,2
California,6
Colorado,3
Connecticut,-1
Florida,5
Georgia,2
Hawaii,-2
Idaho,2
Illinois,6
Indiana,2
Iowa,2
Kansas,2
Kentucky,3
Louisiana,4
Maine,5
Maryland,2
Massachusetts,2
Michigan,2
Minnesota,3
Mississippi,3
Missouri,3
Montana,-2
Nebraska,1
Nevada,5
New Hampshire,-2
New Jersey,5
New Mexico,4
New York,4
North Carolina,4
North Dakota,2
Ohio,2
Oklahoma,1
Oregon,2
Pennsylvania,1
Rhode Island,-1
South Carolina,4
South Dakota,3
Tennessee,4
Texas,5
Utah,0
Vermont,6
Virginia,2
Washington,1
West Virginia,7
Wisconsin,1
Wyoming,2